Season,Page,FootballBoxes,ParsedRows,MissingDate,MissingHome,MissingAway,MissingScore
2024–25,2024–25 UEFA Europa League,0,0,0,0,0,0
2024–25,2024–25 UEFA Europa League knockout phase,44,44,0,0,0,0
2024–25,2024–25 UEFA Europa League league phase,0,0,0,0,0,0
2024–25,2024–25 UEFA Europa League qualifying,80,80,0,0,0,0
2024–25,2024–25 UEFA Europa League qualifying phase and play-off round,80,80,0,0,0,0
2024–25,Talk:2024–25 UEFA Europa League league phase,0,0,0,0,0,0
2025–26,2025–26 UEFA Europa League,0,0,0,0,0,0
2025–26,2025–26 UEFA Europa League knockout phase,44,44,0,0,0,0
2025–26,2025–26 UEFA Europa League league phase,0,0,0,0,0,0
2025–26,2025–26 UEFA Europa League qualifying,82,82,0,0,0,0
2025–26,Talk:2025–26 UEFA Europa League league phase,0,0,0,0,0,0
